id,pub_author,pub_year,abstract
47063511,Barnett (2008),2008,"The effectiveness of the Tools of the Mind (Tools) curriculum in improving the education of 3- and 4-year-old children was evaluated by means of a randomized trial. The Tools curriculum, based on the work of Vygotsky, focuses on the development of self-regulation at the same time as teaching literacy and mathematics skills in a way that is socially mediated by peers and teachers and with a focus on play. The control group experienced an established district-created model described as a 'balanced literacy curriculum with themes.' Teachers and students were randomly assigned to either treatment or control classrooms. Children (88 Tools and 122 control) were compared on social behavior, language, and literacy growth. The Tools curriculum was found to improve classroom quality and children's executive function as indicated by lower scores on a problem behavior scale. There were indications that Tools also improved children's language development, but these effects were smaller and did not reach conventional levels of statistical significance in multi-level models or after adjustments for multiple comparisons. Our findings indicate that a developmentally appropriate curriculum with a strong emphasis on play can enhance learning and development so as to improve both the social and academic success of young children. Moreover, it is suggested that to the extent child care commonly increases behavior problems this outcome may be reversed through the use of more appropriate curricula that actually enhance self-regulation. "
75313870,Blair (2014),2014,"Effective early education is essential for academic achievement and positive life outcomes, particularly for children in poverty. Advances in neuroscience suggest that a focus on self-regulation in education can enhance children's engagement in learning and establish beneficial academic trajectories in the early elementary grades. Here, we experimentally evaluate an innovative approach to the education of children in kindergarten that embeds support for self-regulation, particularly executive functions, into literacy, mathematics, and science learning activities. Results from a cluster randomized controlled trial involving 29 schools, 79 classrooms, and 759 children indicated positive effects on executive functions, reasoning ability, the control of attention, and levels of salivary cortisol and alpha amylase. Results also demonstrated improvements in reading, vocabulary, and mathematics at the end of kindergarten that increased into the first grade. A number of effects were specific to high-poverty schools, suggesting that a focus on executive functions and associated aspects of selfregulation in early elementary education holds promise for closing the achievement gap."
75313883,Flook (2015),2015,"Self-regulatory abilities are robust predictors of important outcomes across the life span, yet they are rarely taught explicitly in school. Using a randomized controlled design, the present study investigated the effects of a 12-week mindfulness-based Kindness Curriculum (KC) delivered in a public school setting on executive function, self-regulation, and prosocial behavior in a sample of 68 preschool children. The KC intervention group showed greater improvements in social competence and earned higher report card grades in domains of learning, health, and social-emotional development, whereas the control group exhibited more selfish behavior over time. Interpretation of effect sizes overall indicate small to medium effects favoring the KC group on measures of cognitive flexibility and delay of gratification. Baseline functioning was found to moderate treatment effects with KC children initially lower in social competence and executive functioning demonstrating larger gains in social competence relative to the control group. These findings, observed over a relatively short intervention period, support the promise of this program for promoting self-regulation and prosocial behavior in young children. They also support the need for future investigation of program implementation across diverse settings. "
55203434,Ford (2009),2009,"Thirty preschoolers from low‐income families participated in a 12‐month intervention programme, funded by Sure Start, which engaged them in scaffolded educational activities delivered at home by their mothers. Immediately following the programme, the intervention group outperformed matched controls in tests of academic knowledge, receptive vocabulary, and inhibitory control, but not short‐term memory or theory of mind. Teachers' ratings of children's capabilities upon school entry favoured the intervention group, especially in terms of listening, responding, writing, mathematics, and personal/social skills. Superior inhibitory control, short‐term memory, and numerical skills were associated with higher ratings whereas theory of mind made a unique, negative contribution to responding. We discuss the implications of these findings for efforts to nurture the development of cognitive self‐regulation and school readiness during early childhood."
77945731,Hong (2012),2012,"The present study examined the efficacy of two different approaches to teaching designed to facilitate children's learning about science concepts and vocabulary related to objects’ floating and sinking and scientific problem-solving skills  responsive teaching (RT) and the combination of responsive teaching and explicit instruction (RT + EI). Participants included 104 children (51 boys) aged four to five years. Small groups of children were randomly assigned to one of the two intervention groups (RT, RT + EI) or to a control group. Responsive teaching (RT) reflects a common approach to teaching young children, and the combination approach (RT + EI) includes explicit instruction as well as responsive teaching. The two planned interventions were implemented with preschool children and provided evidence that (1) young children learned science concepts and vocabulary better when either responsive teaching or the combination of responsive teaching and explicit instruction was used  (2) children in the combined intervention group learned more science concepts and vocabulary and more content-specific scientific problem-solving skills than children in either the responsive teaching or control groups. Limitations, future directions, and implications for practice are also discussed."
38224234,Klauer (1992),1992,"Two criteria were used to identify highly able kindergarten children  assessment by teachers and an IQ ≥ 115 on Raven's Progressive Matrices. In this way, 16 highly able children were found, matched pairwise according to age and IQ, and then randomly allotted to two treatment conditions. In one condition the children were trained using a program for fostering inductive thinking, whereas the children in the other condition continued their normal kindergarten activities. Based upon a new theory of inductive reasoning, the training was expected to have a positive effect on intelligence test performance. Results showed that all of the trained children outperformed their matched counterparts. It was concluded that, even with highly able children, the level of cognitive functioning can be improved, and that training of inductive thinking is an effective means to this end."
75313918,Liu (2015),2015,"Inhibitory control (including response inhibition and interference control) develops rapidly during the preschool period and is important for early cognitive development. This study aimed to determine the training and transfer effects on response inhibition in young children. Children in the training group (N = 20  12 boys, mean age 4.87 +/- 0.26 years) played ""Fruit Ninja"" on a tablet computer for 15 min/day, 4 days/week, for 3 weeks. Children in the active control group (N = 20  10 boys, mean age 4.88 +/- 0.20 years) played a coloring game on a tablet computer for 10 min/day, 1-2 days/week, for 3 weeks. Several cognitive tasks (involving inhibitory control, working memory, and fluid intelligence) were used to evaluate the transfer effects, and electroencephalography (EEG) was performed during a go/no-go task. Progress on the trained game was significant, while performance on a reasoning task (Raven's Progressive Matrices) revealed a trend-level improvement from pre-to post-test. EEG indicated that the N-2 effect of the go/no-go task was enhanced after training for girls. This study is the first to show that pure response inhibition training can potentially improve reasoning ability. Furthermore, gender differences in the training-induced changes in neural activity were found in preschoolers."
75313894,O'Connor (2014),2014,"The primary aim of this group randomized trial was to test the efficacy of INSIGHTS Into Children's Temperament (INSIGHTS) in increasing the academic achievement and sustained attention and reducing the disruptive behavior problems of low-income kindergarten and 1st grade children. Twenty-two urban elementary schools serving low-income families were randomly assigned to INSIGHTS or a supplemental reading program that served as an attention-control condition. Data on 435 students in 122 classrooms were collected at 5 time points across kindergarten and 1st grade. Students received intervention in the 2nd half of kindergarten and the 1st half of 1st grade. Their teachers and parents participated in the program at the same time. Two-level hierarchical linear models were used to examine both within- and between-child changes in achievement across kindergarten and 1st grades. Results revealed that children enrolled in INSIGHTS experienced growth in math and reading achievement and sustained attention that was significantly faster than that of children enrolled in the supplemental reading program. In addition, although children participating in INSIGHTS evidenced decreases in behavior problems over time, children enrolled in the supplemental reading program demonstrated increases. Effects on math and reading were partially mediated through a reduction in behavior problems, and effects on reading were partially mediated through an improvement in sustained attention. Results indicate that INSIGHTS enhances the academic development of early elementary school children and supports the need for policies that provide social-emotional intervention for children at risk for academic problems."
75313896,Pears (2014),2014,"Children from low-income backgrounds demonstrate poorer school readiness skills than their higher-income peers. The Kids In Transition to School (KITS) Program was developed to increase early literacy, social, and self-regulatory skills among children with inadequate school readiness. In the present study, 39 families participated in a pilot efficacy trial conducted through a community collaboration to examine the feasibility and impact of the KITS program with families from disadvantaged neighborhoods. Participating families were demographically representative of the larger populations in the participating school districts. Children who received the intervention demonstrated significantly greater improvements in letter naming, initial sound fluency, and understanding of concepts about print than their peers who did not participate in the intervention as well as decreases in aggressive responses to peer provocation and increases in self-regulation skills. Results suggest that a brief, focused school readiness intervention is feasible to conduct with low-income families and may improve critical skills.  "
40294945,Peskin (2004) MSR,2004,"This study investigated whether exposing Kindergarten children to metacognitive language results in a greater conceptual understanding of mental states, and increased production and comprehension of metacognitive vocabulary. Over a 4-week period, parents, teachers and graduate assistants read about 70 picture books to each participant (N=48, mean age 4 6). The experimental group received books with text rich in explicit metacognitive terms. The control group received the same books with no metacognitive language but with most stories and accompanying illustrations implicitly requiring children to think about alternative perspectives. Results from pre-test to post-test show firstly, that exposing children to explicit metacognitive vocabulary resulted in significantly more metacognitive verb production in story telling but no improvement in metacognitive language comprehension. This demonstrates Nelson's [""Language in Cognitive Development  Emergence of the Mediated Mind,"" Cambridge University Press, New York, 1996] notion that children ""use"" such vocabulary before fully understanding the concepts. A second finding was that the control group children outperformed the experimental group on a false-belief explanation battery. This suggests that hearing numerous metacognitive terms in stories is less important than having to actively construct one's own mentalistic interpretations from illustrations and text that implicitly draw attention to mental states."
75313922,Pozuelos (2019),2019,"Interventions including social scaffolding and metacognitive strategies have been used in educational settings to promote cognition. In addition, increasing evidence shows that computerized process‐based training enhances cognitive skills. However, no prior studies have examined the effect of combining these two training strategies. The goal of this study was to test the combined effect of metacognitive scaffolding and computer‐based training of executive attention in a sample of typically developing preschoolers at the cognitive and brain levels. Compared to children in the regular training protocol and an untrained active control group, children in the metacognitive group showed larger gains on intelligence and significant increases on an electrophysiological index associated with conflict processing. Moreover, changes in the conflict‐related brain activity predicted gains in intelligence in the metacognitive scaffolding group. These results suggest that metacognitive scaffolding boosts the influence of process‐based training on cognitive efficiency and brain plasticity related to executive attention. A few sessions of training with a process‐based program of executive attention combined with metacognitive scaffolding produce cognitive and brain function benefits. Also, changes in brain activation predict gains in intelligence following training."
75313897,Raver (2011),2011,"Based on theoretically driven models, the Chicago School Readiness Project (CSRP) targeted low-income children's school readiness through the mediating mechanism of self-regulation. The CSRP is a multicomponent, cluster-randomized efficacy trial implemented in 35 Head Start-funded classrooms (N = 602 children). The analyses confirm that the CSRP improved low-income children's self-regulation skills (as indexed by attention/impulse control and executive function) from fall to spring of the Head Start year. Analyses also suggest significant benefits of CSRP for children's preacademic skills, as measured by vocabulary, letter-naming, and math skills. Partial support was found for improvement in children's self-regulation as a hypothesized mediator for children's gains in academic readiness. Implications for programs and policies that support young children's behavioral health and academic success are discussed. "
